date,portfolio_value,benchmark_value,marked_open_risk_percent,capital_invested_percent
2015-12-04,120026.34,859228.91,0.9575,22.86
2015-12-07,119653.69,852581.8,0.9605,22.62
2015-12-08,119877.35,853701.78,0.9587,22.76
2015-12-09,119307.74,836361.55,0.9633,22.39
2015-12-10,119376.4,839333.35,0.9627,22.44
2015-12-11,119007.28,820977.31,0.9657,22.2
2015-12-14,119035.51,821068.11,0.4815,11.34
2015-12-15,119201.36,813497.45,0.4808,11.47
2015-12-16,119284.29,822363.75,0.4805,11.53
2015-12-17,119076.97,807950.59,0.4813,11.38
2015-12-18,118857.22,788926.79,0.4822,11.21
2015-12-21,118982.14,798282.65,0.0,0.0
2015-12-22,118982.14,799838.26,0.0,0.0
2015-12-23,118982.14,807385.51,0.0,0.0
2015-12-24,118982.14,804506.44,0.0,0.0
2015-12-28,118982.14,802201.38,0.0,0.0
2015-12-29,118982.14,815640.3,0.0,0.0
2015-12-30,118887.3,807132.79,0.4995,13.0
2015-12-31,118647.03,793445.95,0.5005,12.82
2016-01-04,118315.6,787013.39,0.0,0.0
2016-01-05,118315.6,777029.3,0.0,0.0
2016-01-06,118315.6,763288.73,0.0,0.0
2016-01-07,118315.6,735182.89,0.0,0.0
2016-01-08,118315.6,733006.66,0.0,0.0
2016-01-11,118315.6,740699.08,0.0,0.0
2016-01-12,118315.6,751586.89,0.0,0.0
2016-01-13,118315.6,730150.02,0.0,0.0
2016-01-14,118315.6,742016.19,0.0,0.0
2016-01-15,118315.6,721032.8,0.0,0.0
2016-01-19,118315.6,721359.59,0.0,0.0
2016-01-20,118315.6,721656.26,0.0,0.0
2016-01-21,118315.6,722124.96,0.0,0.0
2016-01-22,118315.6,752249.44,0.0,0.0
2016-01-25,118315.6,739820.89,0.0,0.0
2016-01-26,118315.6,743891.51,0.0,0.0
2016-01-27,118315.6,709119.33,0.0,0.0
2016-01-28,118315.6,718232.37,0.0,0.0
2016-01-29,118315.6,740183.26,0.0,0.0
2016-02-01,118315.6,738169.91,0.0,0.0
2016-02-02,118315.6,726662.12,0.0,0.0
2016-02-03,117873.87,729017.31,0.5006,7.37
2016-02-04,117703.66,726379.14,0.0,0.0
2016-02-05,117703.66,702863.01,0.0,0.0
2016-02-08,117703.66,703062.74,0.0,0.0
2016-02-09,117703.66,702892.03,0.0,0.0
2016-02-10,117703.66,700864.02,0.0,0.0
2016-02-11,117703.66,697443.37,0.0,0.0
2016-02-12,117703.66,701296.06,0.0,0.0
2016-02-16,117703.66,719987.78,0.0,0.0
2016-02-17,117703.66,732729.87,0.0,0.0
2016-02-18,117703.66,726982.83,0.0,0.0
2016-02-19,117830.48,728071.07,0.4994,6.36
2016-02-22,118096.35,737201.07,0.4983,6.57
2016-02-23,118116.04,724127.95,0.4982,6.59
2016-02-24,118170.2,732274.75,0.498,6.63
2016-02-25,118187.43,737893.6,0.4979,6.64
2016-02-26,118135.73,737042.46,0.4982,6.6
2016-02-29,118056.96,733023.59,0.4985,6.54
2016-03-01,118399.14,760889.57,0.497,6.81
2016-03-02,118445.91,761984.26,0.4969,6.85
2016-03-03,118374.52,763037.47,0.4972,6.79
2016-03-04,118349.91,769321.65,0.4973,6.77
2016-03-07,118298.21,760007.34,0.4975,6.73
2016-03-08,118152.97,754129.13,0.4981,6.62
2016-03-09,118148.04,757320.49,0.4981,6.61
2016-03-10,118135.73,758692.63,0.4982,6.6
2016-03-11,118268.67,768854.37,0.4976,6.71
2016-03-14,118357.5,771314.68,0.9965,17.27
2016-03-15,118323.6,780011.11,0.9968,17.25
2016-03-16,118672.98,790617.35,0.9938,17.49
2016-03-17,118622.7,789557.67,0.9943,17.46
2016-03-18,118815.3,791884.93,0.9926,17.59
2016-03-21,118952.31,793686.66,0.9915,17.69
2016-03-22,118902.4,796850.33,0.9919,17.65
2016-03-23,119003.73,794550.01,0.9911,17.72
2016-03-24,118970.75,792106.2,0.9913,17.7
2016-03-28,119030.93,790509.74,0.9908,17.74
2016-03-29,119378.75,806619.84,0.988,17.98
2016-03-30,119510.63,816779.52,0.9869,18.07
2016-03-31,119388.05,812690.49,0.9879,17.99
2016-04-01,119628.78,820592.38,0.9859,18.15
2016-04-04,119466.86,823480.04,0.9872,18.04
2016-04-05,119345.49,815386.87,0.9882,17.96
2016-04-06,119515.98,823751.58,0.9868,18.07
2016-04-07,119292.53,809320.97,0.9887,17.92
2016-04-08,119338.32,810359.91,0.9883,17.95
2016-04-11,119360.35,811849.55,0.9881,17.97
2016-04-12,119463.39,820143.16,0.9873,18.04
2016-04-13,119811.32,832062.63,0.9844,18.28
2016-04-14,119893.88,833275.25,0.9837,18.33
2016-04-15,120042.02,824787.74,0.9825,18.43
2016-04-18,120130.51,815950.98,0.9818,18.49
2016-04-19,119777.72,809262.11,0.9847,18.25
2016-04-20,119790.04,810408.24,0.9846,18.26
2016-04-21,119864.78,805993.17,0.984,18.31
2016-04-22,119127.19,795183.63,0.99,17.81
2016-04-25,119112.84,793802.6,0.4941,7.53
2016-04-26,119120.23,787112.88,0.494,7.54
2016-04-27,119324.56,759195.83,0.4932,7.7
2016-04-28,119051.3,738936.38,0.4943,7.49
2016-04-29,118886.36,732495.46,0.495,7.36
2016-05-02,118956.82,735315.22,0.0,0.0
2016-05-03,118956.82,739055.12,0.0,0.0
2016-05-04,118956.82,732656.32,0.0,0.0
2016-05-05,118956.82,729624.34,0.0,0.0
2016-05-06,118956.82,730712.03,0.0,0.0
2016-05-09,118956.82,731853.32,0.0,0.0
2016-05-10,118956.82,739551.11,0.0,0.0
2016-05-11,118956.82,733223.68,0.0,0.0
2016-05-12,118956.82,721659.71,0.0,0.0
2016-05-13,118956.82,735086.54,0.0,0.0
2016-05-16,119385.07,755112.79,0.4982,10.37
2016-05-17,119411.49,750624.1,0.4981,10.39
2016-05-18,119728.49,758621.77,0.4968,10.63
2016-05-19,119784.26,755840.61,0.4965,10.67
2016-05-20,120013.21,764401.35,0.4956,10.84
2016-05-23,120033.76,768935.97,0.4955,10.86
2016-05-24,120315.54,782513.51,0.4944,11.07
2016-05-25,120259.77,791268.27,0.4946,11.02
2016-05-26,120410.03,795926.03,0.9926,29.69
2016-05-27,120599.69,798838.3,0.991,29.8
2016-05-31,120710.59,799043.26,1.9881,69.57
2016-06-01,120791.3,793078.23,1.9868,69.59
2016-06-02,120927.3,790041.01,1.9846,69.62
2016-06-03,120338.08,787220.51,1.9943,69.48
2016-06-06,120364.79,788988.0,1.9938,69.48
2016-06-07,120405.68,791102.78,1.9932,69.49
2016-06-08,120779.69,792867.87,1.987,69.59
2016-06-09,121044.02,798842.22,1.9827,69.65
2016-06-10,119934.11,789405.65,2.001,69.37
2016-06-13,119684.96,783326.7,1.5035,50.87
2016-06-14,119634.9,784288.5,1.001,26.03
2016-06-15,119750.67,783680.05,1.0,26.1
2016-06-16,119579.56,784677.3,0.4974,11.67
2016-06-17,119335.93,767708.93,0.4984,11.49
2016-06-20,119582.49,769759.73,0.4974,11.67
2016-06-21,119497.37,773417.69,0.4977,11.61
2016-06-22,119485.63,771848.5,0.4978,11.6
2016-06-23,119855.47,779580.42,0.4962,11.88
2016-06-24,119045.34,751236.83,0.4996,11.28
2016-06-27,118913.84,741519.67,0.0,0.0
2016-06-28,118913.84,753783.98,0.0,0.0
2016-06-29,118913.84,761562.55,0.0,0.0
2016-06-30,118913.84,770523.14,0.0,0.0
2016-07-01,118913.84,772586.81,0.0,0.0
2016-07-05,118913.84,768719.03,0.0,0.0
2016-07-06,118913.84,773329.07,0.0,0.0
2016-07-07,118913.84,778101.49,0.0,0.0
2016-07-08,119194.19,789805.71,0.4988,8.76
2016-07-11,119423.23,796410.68,0.9964,26.99
2016-07-12,119739.87,801929.97,0.9938,27.18
2016-07-13,119732.74,798706.85,0.9938,27.18
2016-07-14,119964.77,810405.29,0.9919,27.32
2016-07-15,119808.23,808610.58,0.9932,27.22
